Date,Strategy_Return,MKT,SMB,HML,const,Residuals
2005-07-01,-0.0860295,-0.013906,-0.08678,0.028281,1.0,0.006027869261510194
2005-08-01,0.24728672,0.088411,0.10417,-0.009369,1.0,0.06142374321001157
2005-09-01,0.048925,-0.001153,0.030501,-0.021033,1.0,0.012765911596755539
2005-10-01,-0.10081162,-0.062156,-0.005449,-0.004717,1.0,-0.0401559761951932
2005-11-01,0.01006557,-0.000524,0.025426,0.01875,1.0,-0.010704856584747714
2005-12-01,0.01658719,0.058244,-0.061691,0.013918,1.0,0.01059566227937249
2006-01-01,0.15747051,0.085381,-0.010489,-0.004884,1.0,0.07470642568528382
2006-02-01,0.0501269699999999,0.036884,-0.009514,8.8e-05,1.0,0.01653322839769298
2006-03-01,-0.03155205,0.015852,-0.011019,-0.006878,1.0,-0.04483215870046715
2006-04-01,-0.05963699,0.118893,-0.05407,0.035216,1.0,-0.12667751073516983
2006-05-01,0.31071782,0.175378,0.119274,-0.013796,1.0,0.023480188909358324
2006-06-01,0.0473767799999999,0.037731,0.053147,-0.007507,1.0,-0.043256549512104746
2006-07-01,-0.01629989,-0.056586,0.047766,-0.009565,1.0,-0.008472627142288327
2006-08-01,0.00571171,0.02652,0.001749,-0.022085,1.0,-0.033697934002636584
2006-09-01,0.25377076,0.04426,0.028273,-0.032037,1.0,0.170842130142143
2006-10-01,0.01707647,0.025364,-0.04967,0.037439,1.0,0.040536909325934706
2006-11-01,0.05915767,0.131029,-0.132139,0.006664,1.0,0.038845860880460055
2006-12-01,0.02602701,0.223724,-0.097833,-0.001834,1.0,-0.11912420221725574
2007-01-01,0.24016111,0.09246,0.067245,-0.002255,1.0,0.08412948950804144
2007-02-01,0.24321977,0.064481,0.10183,0.03608,1.0,0.09663681693107612
2007-03-01,0.2018197,0.11107,0.109857,0.003839,1.0,-0.00776015973640326
2007-04-01,0.25150972,0.224418,0.045277,0.052641,1.0,-0.0016435624918908487
2007-05-01,0.10287212,0.077354,-0.027075,-0.014037,1.0,0.03974977015871667
2007-06-01,-0.09271731,-0.082686,-0.113461,-0.096844,1.0,0.05454750893267174
2007-07-01,0.20680206,0.178672,0.082684,0.013097,1.0,-0.044346049578986246
2007-08-01,0.1078179,0.167538,-0.03319,0.001608,1.0,-0.03574807122533141
2007-09-01,0.01456269,0.047084,-0.017388,0.043838,1.0,-0.00965258874747471
2007-10-01,-0.11015965,0.054572,-0.128447,-0.03629,1.0,-0.06967962359437163
2007-11-01,-0.01963584,-0.136186,0.091216,0.008438,1.0,0.035734342010156545
2007-12-01,0.20973942,0.081914,0.064503,0.008662,1.0,0.06982410549298224
2008-01-01,-0.08349242,-0.158398,0.071419,-0.02444,1.0,0.0015407334010626161
2008-02-01,0.05558879,0.015073,0.084746,0.027775,1.0,-0.029245263833386034
2008-03-01,-0.17906099,-0.194182,0.004756,-0.037009,1.0,-0.004466613796458074
2008-04-01,0.03507872,0.051234,-0.095482,-0.02018,1.0,0.05522557912869503
2008-05-01,-0.04421913,-0.084429,0.045018,0.045009,1.0,0.009828757571549933
2008-06-01,-0.24276444,-0.216319,-0.03627,-0.015263,1.0,-0.0043057662665965946
2008-07-01,0.10844107,0.019857,0.087877,0.002528,1.0,0.008729031062711251
2008-08-01,-0.23844093,-0.15066,-0.088312,0.030234,1.0,-0.0075764415186797
2008-09-01,-0.07045213,-0.071351,-0.030662,0.03859,1.0,0.033803772165135526
2008-10-01,-0.28100237,-0.262438,0.010845,0.030937,1.0,-0.023422579562105417
2008-11-01,0.26121871,0.112747,0.095304,-0.016385,1.0,0.05657282754147741
2008-12-01,0.13400173,-0.005989,0.075206,-0.039037,1.0,0.05891022648985167
2009-01-01,0.2292257,0.11069,0.040802,-0.018003,1.0,0.07310641013629313
2009-02-01,0.13712433,0.050503,0.045555,-0.017919,1.0,0.03719426207545015
2009-03-01,0.20173983,0.163015,0.075955,-0.051357,1.0,-0.046807789708652014
2009-04-01,0.0425939699999999,0.045911,0.034071,0.014807,1.0,-0.03326649827834188
2009-05-01,0.02713849,0.051924,0.030207,0.003924,1.0,-0.05460042335576869
