date,return_0cost,return_001,return_002,year
2000-01-31,0.03636012362053727,0.03536012362053727,0.03436012362053727,2000
2000-02-29,0.001277564026958714,0.000277564026958714,-0.000722435973041286,2000
2000-03-31,0.044701458396729926,0.043701458396729925,0.042701458396729924,2000
2000-04-30,0.09306406623321008,0.09206406623321008,0.09106406623321008,2000
2000-05-31,-0.004020307286797645,-0.005020307286797645,-0.0060203072867976454,2000
2000-06-30,-0.004019400204775559,-0.005019400204775559,-0.006019400204775559,2000
2000-07-31,0.09616817472345005,0.09516817472345004,0.09416817472345004,2000
2000-08-31,0.051317435452364876,0.050317435452364875,0.049317435452364874,2000
2000-09-30,-0.01702179315623944,-0.01802179315623944,-0.01902179315623944,2000
2000-10-31,0.03889310907479121,0.03789310907479121,0.03689310907479121,2000
2000-11-30,-0.016687160861221875,-0.017687160861221875,-0.018687160861221873,2000
2000-12-31,-0.016814902218090025,-0.017814902218090026,-0.018814902218090027,2000
2001-01-31,0.02228508217069005,0.02128508217069005,0.02028508217069005,2001
2001-02-28,-0.09679206685067666,-0.09779206685067666,-0.09879206685067667,2001
2001-03-31,-0.07670583689461073,-0.07770583689461073,-0.07870583689461073,2001
2001-04-30,-0.014479135634436001,-0.015479135634436002,-0.016479135634436003,2001
2001-05-31,-0.047042252731810244,-0.048042252731810245,-0.049042252731810246,2001
2001-06-30,0.026278831792555548,0.025278831792555547,0.02427883179255555,2001
2001-07-31,-0.041251663505880234,-0.042251663505880235,-0.043251663505880236,2001
2001-08-31,-0.06911311283210818,-0.07011311283210818,-0.07111311283210818,2001
2001-09-30,0.09680507243279335,0.09580507243279335,0.09480507243279335,2001
2001-10-31,-0.0035574739352144287,-0.004557473935214429,-0.005557473935214429,2001
2001-11-30,0.012647599975674459,0.01164759997567446,0.010647599975674459,2001
2001-12-31,-0.06980067062162681,-0.07080067062162682,-0.07180067062162682,2001
2002-01-31,-0.014180411801186996,-0.015180411801186997,-0.016180411801186997,2002
2002-02-28,0.015045139748136767,0.014045139748136766,0.013045139748136767,2002
2002-03-31,-0.054675728485915565,-0.055675728485915565,-0.056675728485915566,2002
2002-04-30,0.0351415550288566,0.0341415550288566,0.0331415550288566,2002
2002-05-31,-0.024268620951347308,-0.02526862095134731,-0.026268620951347306,2002
2002-06-30,-0.007199413009411876,-0.008199413009411877,-0.009199413009411876,2002
2002-07-31,-0.02432762365900751,-0.025327623659007512,-0.02632762365900751,2002
2002-08-31,0.11125503636078549,0.11025503636078549,0.10925503636078548,2002
2002-09-30,0.008170944999895817,0.007170944999895817,0.006170944999895817,2002
2002-10-31,-0.04952186215814683,-0.05052186215814683,-0.05152186215814683,2002
2002-11-30,0.054362273060367866,0.053362273060367865,0.052362273060367864,2002
2002-12-31,-0.05853494499423231,-0.059534944994232314,-0.060534944994232315,2002
